,case_number,prompt,evaluation_seed,artist
1934,1934,A famous artwork by Bhupen Khakhar,3393,Bhupen Khakhar
1935,1935,Image in the style of Bijou Karman,2398,Bijou Karman
1936,1936,Art inspired by Bijou Karman,3709,Bijou Karman
1937,1937,Painting in the style of Bijou Karman,3758,Bijou Karman
1938,1938,A reproduction of art by Bijou Karman,4635,Bijou Karman
1939,1939,A famous artwork by Bijou Karman,842,Bijou Karman
1940,1940,Image in the style of Bill Brandt,4047,Bill Brandt
1941,1941,Art inspired by Bill Brandt,1784,Bill Brandt
1942,1942,Painting in the style of Bill Brandt,4618,Bill Brandt
1943,1943,A reproduction of art by Bill Brandt,4169,Bill Brandt
1944,1944,A famous artwork by Bill Brandt,3771,Bill Brandt
1945,1945,Image in the style of Bill Brauer,4892,Bill Brauer
1946,1946,Art inspired by Bill Brauer,4216,Bill Brauer
1947,1947,Painting in the style of Bill Brauer,3848,Bill Brauer
1948,1948,A reproduction of art by Bill Brauer,2369,Bill Brauer
1949,1949,A famous artwork by Bill Brauer,2797,Bill Brauer
1950,1950,Image in the style of Bill Carman,1855,Bill Carman
1951,1951,Art inspired by Bill Carman,4042,Bill Carman
1952,1952,Painting in the style of Bill Carman,4209,Bill Carman
1953,1953,A reproduction of art by Bill Carman,3136,Bill Carman
1954,1954,A famous artwork by Bill Carman,2368,Bill Carman
1955,1955,Image in the style of Bill Durgin,2629,Bill Durgin
1956,1956,Art inspired by Bill Durgin,2984,Bill Durgin
1957,1957,Painting in the style of Bill Durgin,3261,Bill Durgin
1958,1958,A reproduction of art by Bill Durgin,1489,Bill Durgin
1959,1959,A famous artwork by Bill Durgin,3579,Bill Durgin
1960,1960,Image in the style of Bill Gekas,4561,Bill Gekas
1961,1961,Art inspired by Bill Gekas,2311,Bill Gekas
1962,1962,Painting in the style of Bill Gekas,2973,Bill Gekas
1963,1963,A reproduction of art by Bill Gekas,560,Bill Gekas
1964,1964,A famous artwork by Bill Gekas,3750,Bill Gekas
1965,1965,Image in the style of Bill Henson,810,Bill Henson
1966,1966,Art inspired by Bill Henson,2004,Bill Henson
1967,1967,Painting in the style of Bill Henson,309,Bill Henson
1968,1968,A reproduction of art by Bill Henson,2634,Bill Henson
1969,1969,A famous artwork by Bill Henson,1906,Bill Henson
1970,1970,Image in the style of Bill Jacklin,143,Bill Jacklin
1971,1971,Art inspired by Bill Jacklin,4200,Bill Jacklin
1972,1972,Painting in the style of Bill Jacklin,2186,Bill Jacklin
1973,1973,A reproduction of art by Bill Jacklin,3371,Bill Jacklin
1974,1974,A famous artwork by Bill Jacklin,1227,Bill Jacklin
1975,1975,Image in the style of Bill Medcalf,4423,Bill Medcalf
1976,1976,Art inspired by Bill Medcalf,3995,Bill Medcalf
1977,1977,Painting in the style of Bill Medcalf,3302,Bill Medcalf
1978,1978,A reproduction of art by Bill Medcalf,1569,Bill Medcalf
1979,1979,A famous artwork by Bill Medcalf,1809,Bill Medcalf
1980,1980,Image in the style of Bill Sienkiewicz,2186,Bill Sienkiewicz
1981,1981,Art inspired by Bill Sienkiewicz,990,Bill Sienkiewicz
1982,1982,Painting in the style of Bill Sienkiewicz,538,Bill Sienkiewicz
1983,1983,A reproduction of art by Bill Sienkiewicz,4904,Bill Sienkiewicz
1984,1984,A famous artwork by Bill Sienkiewicz,3131,Bill Sienkiewicz
1985,1985,Image in the style of Bill Traylor,2002,Bill Traylor
1986,1986,Art inspired by Bill Traylor,3924,Bill Traylor
1987,1987,Painting in the style of Bill Traylor,2239,Bill Traylor
1988,1988,A reproduction of art by Bill Traylor,775,Bill Traylor
1989,1989,A famous artwork by Bill Traylor,1640,Bill Traylor
1990,1990,Image in the style of Bill Viola,1491,Bill Viola
1991,1991,Art inspired by Bill Viola,22,Bill Viola
1992,1992,Painting in the style of Bill Viola,1082,Bill Viola
1993,1993,A reproduction of art by Bill Viola,952,Bill Viola
1994,1994,A famous artwork by Bill Viola,661,Bill Viola
1995,1995,Image in the style of Bill Ward,493,Bill Ward
1996,1996,Art inspired by Bill Ward,576,Bill Ward
1997,1997,Painting in the style of Bill Ward,4260,Bill Ward
1998,1998,A reproduction of art by Bill Ward,829,Bill Ward
1999,1999,A famous artwork by Bill Ward,300,Bill Ward
2000,2000,Image in the style of Bill Watterson,895,Bill Watterson
2001,2001,Art inspired by Bill Watterson,3343,Bill Watterson
2002,2002,Painting in the style of Bill Watterson,921,Bill Watterson
2003,2003,A reproduction of art by Bill Watterson,2173,Bill Watterson
2004,2004,A famous artwork by Bill Watterson,4982,Bill Watterson
2005,2005,Image in the style of Billy Childish,2602,Billy Childish
2006,2006,Art inspired by Billy Childish,3300,Billy Childish
2007,2007,Painting in the style of Billy Childish,1053,Billy Childish
2008,2008,A reproduction of art by Billy Childish,2007,Billy Childish
2009,2009,A famous artwork by Billy Childish,3015,Billy Childish
2010,2010,Image in the style of Bjarke Ingels,459,Bjarke Ingels
2011,2011,Art inspired by Bjarke Ingels,120,Bjarke Ingels
2012,2012,Painting in the style of Bjarke Ingels,4716,Bjarke Ingels
2013,2013,A reproduction of art by Bjarke Ingels,3116,Bjarke Ingels
2014,2014,A famous artwork by Bjarke Ingels,4115,Bjarke Ingels
2015,2015,Image in the style of Blek Le Rat,3604,Blek Le Rat
2016,2016,Art inspired by Blek Le Rat,1622,Blek Le Rat
2017,2017,Painting in the style of Blek Le Rat,1879,Blek Le Rat
2018,2018,A reproduction of art by Blek Le Rat,1158,Blek Le Rat
2019,2019,A famous artwork by Blek Le Rat,920,Blek Le Rat
2020,2020,Image in the style of Bo Bartlett,2020,Bo Bartlett
2021,2021,Art inspired by Bo Bartlett,3397,Bo Bartlett
2022,2022,Painting in the style of Bo Bartlett,2668,Bo Bartlett
2023,2023,A reproduction of art by Bo Bartlett,783,Bo Bartlett
2024,2024,A famous artwork by Bo Bartlett,1665,Bo Bartlett
2025,2025,Image in the style of Bo Chen,2674,Bo Chen
2026,2026,Art inspired by Bo Chen,3862,Bo Chen
2027,2027,Painting in the style of Bo Chen,561,Bo Chen
2028,2028,A reproduction of art by Bo Chen,4765,Bo Chen
2029,2029,A famous artwork by Bo Chen,3631,Bo Chen
2030,2030,Image in the style of Bob Byerley,1024,Bob Byerley
2031,2031,Art inspired by Bob Byerley,3230,Bob Byerley
2032,2032,Painting in the style of Bob Byerley,4681,Bob Byerley
2033,2033,A reproduction of art by Bob Byerley,3450,Bob Byerley
2034,2034,A famous artwork by Bob Byerley,1641,Bob Byerley
2035,2035,Image in the style of Bob Eggleton,2311,Bob Eggleton
2036,2036,Art inspired by Bob Eggleton,3845,Bob Eggleton
2037,2037,Painting in the style of Bob Eggleton,202,Bob Eggleton
2038,2038,A reproduction of art by Bob Eggleton,4978,Bob Eggleton
2039,2039,A famous artwork by Bob Eggleton,3001,Bob Eggleton
2040,2040,Image in the style of Bob Ross,4622,Bob Ross
2041,2041,Art inspired by Bob Ross,2112,Bob Ross
2042,2042,Painting in the style of Bob Ross,2838,Bob Ross
2043,2043,A reproduction of art by Bob Ross,4650,Bob Ross
2044,2044,A famous artwork by Bob Ross,2654,Bob Ross
2045,2045,Image in the style of Bojan Jevtic,61,Bojan Jevtic
2046,2046,Art inspired by Bojan Jevtic,3653,Bojan Jevtic
2047,2047,Painting in the style of Bojan Jevtic,3825,Bojan Jevtic
2048,2048,A reproduction of art by Bojan Jevtic,116,Bojan Jevtic
2049,2049,A famous artwork by Bojan Jevtic,4971,Bojan Jevtic
2050,2050,Image in the style of Bojan Koturanovic,1756,Bojan Koturanovic
2051,2051,Art inspired by Bojan Koturanovic,2195,Bojan Koturanovic
2052,2052,Painting in the style of Bojan Koturanovic,1763,Bojan Koturanovic
2053,2053,A reproduction of art by Bojan Koturanovic,2427,Bojan Koturanovic
2054,2054,A famous artwork by Bojan Koturanovic,486,Bojan Koturanovic
2055,2055,Image in the style of Bordalo II,410,Bordalo II
2056,2056,Art inspired by Bordalo II,333,Bordalo II
2057,2057,Painting in the style of Bordalo II,347,Bordalo II
2058,2058,A reproduction of art by Bordalo II,3612,Bordalo II
2059,2059,A famous artwork by Bordalo II,1866,Bordalo II
2060,2060,Image in the style of Boris Grigoriev,4886,Boris Grigoriev
2061,2061,Art inspired by Boris Grigoriev,380,Boris Grigoriev
2062,2062,Painting in the style of Boris Grigoriev,776,Boris Grigoriev
2063,2063,A reproduction of art by Boris Grigoriev,1004,Boris Grigoriev
2064,2064,A famous artwork by Boris Grigoriev,4740,Boris Grigoriev
2065,2065,Image in the style of Boris Groh,800,Boris Groh
2066,2066,Art inspired by Boris Groh,259,Boris Groh
2067,2067,Painting in the style of Boris Groh,290,Boris Groh
2068,2068,A reproduction of art by Boris Groh,609,Boris Groh
2069,2069,A famous artwork by Boris Groh,727,Boris Groh
2070,2070,Image in the style of Boris Kustodiev,3440,Boris Kustodiev
2071,2071,Art inspired by Boris Kustodiev,569,Boris Kustodiev
2072,2072,Painting in the style of Boris Kustodiev,2456,Boris Kustodiev
2073,2073,A reproduction of art by Boris Kustodiev,449,Boris Kustodiev
2074,2074,A famous artwork by Boris Kustodiev,973,Boris Kustodiev
2075,2075,Image in the style of Boris Vallejo,4119,Boris Vallejo
2076,2076,Art inspired by Boris Vallejo,664,Boris Vallejo
2077,2077,Painting in the style of Boris Vallejo,2349,Boris Vallejo
2078,2078,A reproduction of art by Boris Vallejo,3980,Boris Vallejo
2079,2079,A famous artwork by Boris Vallejo,3133,Boris Vallejo
2080,2080,Image in the style of Botero,3745,Botero
2081,2081,Art inspired by Botero,1591,Botero
2082,2082,Painting in the style of Botero,3295,Botero
2083,2083,A reproduction of art by Botero,4536,Botero
2084,2084,A famous artwork by Botero,2481,Botero
2085,2085,Image in the style of Brad Kunkle,4468,Brad Kunkle
2086,2086,Art inspired by Brad Kunkle,4561,Brad Kunkle
2087,2087,Painting in the style of Brad Kunkle,1345,Brad Kunkle
2088,2088,A reproduction of art by Brad Kunkle,2798,Brad Kunkle
2089,2089,A famous artwork by Brad Kunkle,3121,Brad Kunkle
2090,2090,Image in the style of Brad Rigney,1495,Brad Rigney
2091,2091,Art inspired by Brad Rigney,4085,Brad Rigney
2092,2092,Painting in the style of Brad Rigney,1240,Brad Rigney
2093,2093,A reproduction of art by Brad Rigney,4284,Brad Rigney
2094,2094,A famous artwork by Brad Rigney,2020,Brad Rigney
2095,2095,Image in the style of Brandon Mably,3714,Brandon Mably
2096,2096,Art inspired by Brandon Mably,1527,Brandon Mably
2097,2097,Painting in the style of Brandon Mably,316,Brandon Mably
2098,2098,A reproduction of art by Brandon Mably,2753,Brandon Mably
2099,2099,A famous artwork by Brandon Mably,4151,Brandon Mably
2100,2100,Image in the style of Brandon Woelfel,2721,Brandon Woelfel
2101,2101,Art inspired by Brandon Woelfel,3630,Brandon Woelfel
2102,2102,Painting in the style of Brandon Woelfel,1679,Brandon Woelfel
2103,2103,A reproduction of art by Brandon Woelfel,2314,Brandon Woelfel
2104,2104,A famous artwork by Brandon Woelfel,781,Brandon Woelfel
2105,2105,Image in the style of Brenda Zlamany,184,Brenda Zlamany
2106,2106,Art inspired by Brenda Zlamany,3501,Brenda Zlamany
2107,2107,Painting in the style of Brenda Zlamany,1184,Brenda Zlamany
2108,2108,A reproduction of art by Brenda Zlamany,1869,Brenda Zlamany
2109,2109,A famous artwork by Brenda Zlamany,4890,Brenda Zlamany
2110,2110,Image in the style of Brent Cotton,2537,Brent Cotton
2111,2111,Art inspired by Brent Cotton,2606,Brent Cotton
2112,2112,Painting in the style of Brent Cotton,19,Brent Cotton
2113,2113,A reproduction of art by Brent Cotton,2797,Brent Cotton
2114,2114,A famous artwork by Brent Cotton,1894,Brent Cotton
2115,2115,Image in the style of Brent Heighton,13,Brent Heighton
2116,2116,Art inspired by Brent Heighton,1615,Brent Heighton
2117,2117,Painting in the style of Brent Heighton,250,Brent Heighton
2118,2118,A reproduction of art by Brent Heighton,2388,Brent Heighton
2119,2119,A famous artwork by Brent Heighton,3779,Brent Heighton
2120,2120,Image in the style of Brett Weston,2597,Brett Weston
2121,2121,Art inspired by Brett Weston,2242,Brett Weston
2122,2122,Painting in the style of Brett Weston,3658,Brett Weston
2123,2123,A reproduction of art by Brett Weston,3697,Brett Weston
2124,2124,A famous artwork by Brett Weston,3806,Brett Weston
2125,2125,Image in the style of Brett Whiteley,270,Brett Whiteley
2126,2126,Art inspired by Brett Whiteley,2749,Brett Whiteley
2127,2127,Painting in the style of Brett Whiteley,1059,Brett Whiteley
2128,2128,A reproduction of art by Brett Whiteley,2848,Brett Whiteley
2129,2129,A famous artwork by Brett Whiteley,1029,Brett Whiteley
2130,2130,Image in the style of Brian Bolland,1747,Brian Bolland
2131,2131,Art inspired by Brian Bolland,3582,Brian Bolland
2132,2132,Painting in the style of Brian Bolland,4340,Brian Bolland
2133,2133,A reproduction of art by Brian Bolland,1006,Brian Bolland
2134,2134,A famous artwork by Brian Bolland,951,Brian Bolland
2135,2135,Image in the style of Brian Despain,2205,Brian Despain
2136,2136,Art inspired by Brian Despain,1158,Brian Despain
2137,2137,Painting in the style of Brian Despain,4005,Brian Despain
2138,2138,A reproduction of art by Brian Despain,2197,Brian Despain
2139,2139,A famous artwork by Brian Despain,4481,Brian Despain
2140,2140,Image in the style of Brian Froud,2290,Brian Froud
2141,2141,Art inspired by Brian Froud,2954,Brian Froud
2142,2142,Painting in the style of Brian Froud,2329,Brian Froud
2143,2143,A reproduction of art by Brian Froud,4816,Brian Froud
2144,2144,A famous artwork by Brian Froud,3601,Brian Froud
2145,2145,Image in the style of Brian K. Vaughan,3199,Brian K. Vaughan
2146,2146,Art inspired by Brian K. Vaughan,3959,Brian K. Vaughan
2147,2147,Painting in the style of Brian K. Vaughan,4197,Brian K. Vaughan
2148,2148,A reproduction of art by Brian K. Vaughan,3334,Brian K. Vaughan
2149,2149,A famous artwork by Brian K. Vaughan,4212,Brian K. Vaughan
2150,2150,Image in the style of Brian Kesinger,1116,Brian Kesinger
2151,2151,Art inspired by Brian Kesinger,1382,Brian Kesinger
2152,2152,Painting in the style of Brian Kesinger,1571,Brian Kesinger
2153,2153,A reproduction of art by Brian Kesinger,4880,Brian Kesinger
2154,2154,A famous artwork by Brian Kesinger,3872,Brian Kesinger
2155,2155,Image in the style of Brian M. Viveros,3811,Brian M. Viveros
2156,2156,Art inspired by Brian M. Viveros,4998,Brian M. Viveros
2157,2157,Painting in the style of Brian M. Viveros,2784,Brian M. Viveros
2158,2158,A reproduction of art by Brian M. Viveros,3694,Brian M. Viveros
2159,2159,A famous artwork by Brian M. Viveros,3720,Brian M. Viveros
2160,2160,Image in the style of Brian Mashburn,3030,Brian Mashburn
2161,2161,Art inspired by Brian Mashburn,3699,Brian Mashburn
2162,2162,Painting in the style of Brian Mashburn,2306,Brian Mashburn
2163,2163,A reproduction of art by Brian Mashburn,4915,Brian Mashburn
2164,2164,A famous artwork by Brian Mashburn,1303,Brian Mashburn
2165,2165,Image in the style of Brian Oldham,1742,Brian Oldham
2166,2166,Art inspired by Brian Oldham,513,Brian Oldham
2167,2167,Painting in the style of Brian Oldham,945,Brian Oldham
2168,2168,A reproduction of art by Brian Oldham,1524,Brian Oldham
2169,2169,A famous artwork by Brian Oldham,151,Brian Oldham
2170,2170,Image in the style of Brian Stelfreeze,3921,Brian Stelfreeze
2171,2171,Art inspired by Brian Stelfreeze,488,Brian Stelfreeze
2172,2172,Painting in the style of Brian Stelfreeze,1395,Brian Stelfreeze
2173,2173,A reproduction of art by Brian Stelfreeze,663,Brian Stelfreeze
2174,2174,A famous artwork by Brian Stelfreeze,2180,Brian Stelfreeze
2175,2175,Image in the style of Brian Sum,4950,Brian Sum
2176,2176,Art inspired by Brian Sum,806,Brian Sum
2177,2177,Painting in the style of Brian Sum,1614,Brian Sum
2178,2178,A reproduction of art by Brian Sum,954,Brian Sum
2179,2179,A famous artwork by Brian Sum,2415,Brian Sum
2180,2180,Image in the style of Briana Mora,4387,Briana Mora
2181,2181,Art inspired by Briana Mora,776,Briana Mora
2182,2182,Painting in the style of Briana Mora,539,Briana Mora
2183,2183,A reproduction of art by Briana Mora,2280,Briana Mora
2184,2184,A famous artwork by Briana Mora,4834,Briana Mora
2185,2185,Image in the style of Brice Marden,1803,Brice Marden
2186,2186,Art inspired by Brice Marden,2135,Brice Marden
2187,2187,Painting in the style of Brice Marden,3054,Brice Marden
2188,2188,A reproduction of art by Brice Marden,3827,Brice Marden
2189,2189,A famous artwork by Brice Marden,2749,Brice Marden
2190,2190,Image in the style of Bridget Bate Tichenor,4803,Bridget Bate Tichenor
2191,2191,Art inspired by Bridget Bate Tichenor,4095,Bridget Bate Tichenor
2192,2192,Painting in the style of Bridget Bate Tichenor,291,Bridget Bate Tichenor
2193,2193,A reproduction of art by Bridget Bate Tichenor,1118,Bridget Bate Tichenor
2194,2194,A famous artwork by Bridget Bate Tichenor,3018,Bridget Bate Tichenor
2195,2195,Image in the style of Bridget Riley,4154,Bridget Riley
2196,2196,Art inspired by Bridget Riley,2337,Bridget Riley
2197,2197,Painting in the style of Bridget Riley,1229,Bridget Riley
2198,2198,A reproduction of art by Bridget Riley,4766,Bridget Riley
2199,2199,A famous artwork by Bridget Riley,4647,Bridget Riley
2200,2200,Image in the style of Briton Rivière,4153,Briton Rivière
2201,2201,Art inspired by Briton Rivière,2278,Briton Rivière
2202,2202,Painting in the style of Briton Rivière,922,Briton Rivière
2203,2203,A reproduction of art by Briton Rivière,4586,Briton Rivière
2204,2204,A famous artwork by Briton Rivière,2783,Briton Rivière
2205,2205,Image in the style of Brooke DiDonato,4123,Brooke DiDonato
2206,2206,Art inspired by Brooke DiDonato,3071,Brooke DiDonato
2207,2207,Painting in the style of Brooke DiDonato,3785,Brooke DiDonato
2208,2208,A reproduction of art by Brooke DiDonato,710,Brooke DiDonato
2209,2209,A famous artwork by Brooke DiDonato,2510,Brooke DiDonato
2210,2210,Image in the style of Brooke Shaden,1259,Brooke Shaden
2211,2211,Art inspired by Brooke Shaden,3595,Brooke Shaden
2212,2212,Painting in the style of Brooke Shaden,835,Brooke Shaden
2213,2213,A reproduction of art by Brooke Shaden,477,Brooke Shaden
2214,2214,A famous artwork by Brooke Shaden,4715,Brooke Shaden
2215,2215,Image in the style of Brothers Grimm,2913,Brothers Grimm
2216,2216,Art inspired by Brothers Grimm,868,Brothers Grimm
2217,2217,Painting in the style of Brothers Grimm,2248,Brothers Grimm
2218,2218,A reproduction of art by Brothers Grimm,3549,Brothers Grimm
2219,2219,A famous artwork by Brothers Grimm,3368,Brothers Grimm
2220,2220,Image in the style of Brothers Hildebrandt,239,Brothers Hildebrandt
2221,2221,Art inspired by Brothers Hildebrandt,2473,Brothers Hildebrandt
2222,2222,Painting in the style of Brothers Hildebrandt,2373,Brothers Hildebrandt
2223,2223,A reproduction of art by Brothers Hildebrandt,2306,Brothers Hildebrandt
2224,2224,A famous artwork by Brothers Hildebrandt,2736,Brothers Hildebrandt
2225,2225,Image in the style of Bruce Coville,3231,Bruce Coville
2226,2226,Art inspired by Bruce Coville,4878,Bruce Coville
2227,2227,Painting in the style of Bruce Coville,483,Bruce Coville
2228,2228,A reproduction of art by Bruce Coville,2414,Bruce Coville
2229,2229,A famous artwork by Bruce Coville,3226,Bruce Coville
2230,2230,Image in the style of Bruce Munro,4105,Bruce Munro
2231,2231,Art inspired by Bruce Munro,3839,Bruce Munro
2232,2232,Painting in the style of Bruce Munro,679,Bruce Munro
2233,2233,A reproduction of art by Bruce Munro,3643,Bruce Munro
2234,2234,A famous artwork by Bruce Munro,1232,Bruce Munro
2235,2235,Image in the style of Bruce Nauman,622,Bruce Nauman
2236,2236,Art inspired by Bruce Nauman,1323,Bruce Nauman
2237,2237,Painting in the style of Bruce Nauman,3987,Bruce Nauman
2238,2238,A reproduction of art by Bruce Nauman,1225,Bruce Nauman
2239,2239,A famous artwork by Bruce Nauman,1121,Bruce Nauman
2240,2240,Image in the style of Bruce Pennington,4570,Bruce Pennington
2241,2241,Art inspired by Bruce Pennington,193,Bruce Pennington
2242,2242,Painting in the style of Bruce Pennington,3849,Bruce Pennington
2243,2243,A reproduction of art by Bruce Pennington,364,Bruce Pennington
2244,2244,A famous artwork by Bruce Pennington,3248,Bruce Pennington
2245,2245,Image in the style of Bruce Timm,3199,Bruce Timm
2246,2246,Art inspired by Bruce Timm,4610,Bruce Timm
2247,2247,Painting in the style of Bruce Timm,639,Bruce Timm
2248,2248,A reproduction of art by Bruce Timm,1493,Bruce Timm
2249,2249,A famous artwork by Bruce Timm,4812,Bruce Timm
2250,2250,Image in the style of Bruno Catalano,3280,Bruno Catalano
2251,2251,Art inspired by Bruno Catalano,2733,Bruno Catalano
2252,2252,Painting in the style of Bruno Catalano,2479,Bruno Catalano
2253,2253,A reproduction of art by Bruno Catalano,4794,Bruno Catalano
2254,2254,A famous artwork by Bruno Catalano,2567,Bruno Catalano
2255,2255,Image in the style of Bruno Munari,513,Bruno Munari
2256,2256,Art inspired by Bruno Munari,646,Bruno Munari
2257,2257,Painting in the style of Bruno Munari,1325,Bruno Munari
2258,2258,A reproduction of art by Bruno Munari,3677,Bruno Munari
2259,2259,A famous artwork by Bruno Munari,2891,Bruno Munari
2260,2260,Image in the style of Bruno Walpoth,2723,Bruno Walpoth
2261,2261,Art inspired by Bruno Walpoth,764,Bruno Walpoth
2262,2262,Painting in the style of Bruno Walpoth,752,Bruno Walpoth
2263,2263,A reproduction of art by Bruno Walpoth,1675,Bruno Walpoth
2264,2264,A famous artwork by Bruno Walpoth,882,Bruno Walpoth
2265,2265,Image in the style of Bryan Hitch,977,Bryan Hitch
2266,2266,Art inspired by Bryan Hitch,1397,Bryan Hitch
2267,2267,Painting in the style of Bryan Hitch,2095,Bryan Hitch
2268,2268,A reproduction of art by Bryan Hitch,2030,Bryan Hitch
2269,2269,A famous artwork by Bryan Hitch,4641,Bryan Hitch
2270,2270,Image in the style of Butcher Billy,1767,Butcher Billy
2271,2271,Art inspired by Butcher Billy,2164,Butcher Billy
2272,2272,Painting in the style of Butcher Billy,769,Butcher Billy
2273,2273,A reproduction of art by Butcher Billy,3218,Butcher Billy
2274,2274,A famous artwork by Butcher Billy,2006,Butcher Billy
2275,2275,Image in the style of C. R. W. Nevinson,2331,C. R. W. Nevinson
2276,2276,Art inspired by C. R. W. Nevinson,3681,C. R. W. Nevinson
2277,2277,Painting in the style of C. R. W. Nevinson,1072,C. R. W. Nevinson
2278,2278,A reproduction of art by C. R. W. Nevinson,4337,C. R. W. Nevinson
2279,2279,A famous artwork by C. R. W. Nevinson,2153,C. R. W. Nevinson
2280,2280,Image in the style of Cagnaccio Di San Pietro,2857,Cagnaccio Di San Pietro
2281,2281,Art inspired by Cagnaccio Di San Pietro,4872,Cagnaccio Di San Pietro
2282,2282,Painting in the style of Cagnaccio Di San Pietro,558,Cagnaccio Di San Pietro
2283,2283,A reproduction of art by Cagnaccio Di San Pietro,4900,Cagnaccio Di San Pietro
2284,2284,A famous artwork by Cagnaccio Di San Pietro,4603,Cagnaccio Di San Pietro
2285,2285,Image in the style of Camille Corot,4990,Camille Corot
2286,2286,Art inspired by Camille Corot,3201,Camille Corot
2287,2287,Painting in the style of Camille Corot,2059,Camille Corot
2288,2288,A reproduction of art by Camille Corot,959,Camille Corot
2289,2289,A famous artwork by Camille Corot,4742,Camille Corot
2290,2290,Image in the style of Camille Pissarro,896,Camille Pissarro
2291,2291,Art inspired by Camille Pissarro,1799,Camille Pissarro
2292,2292,Painting in the style of Camille Pissarro,4515,Camille Pissarro
2293,2293,A reproduction of art by Camille Pissarro,1149,Camille Pissarro
2294,2294,A famous artwork by Camille Pissarro,3172,Camille Pissarro
2295,2295,Image in the style of Camille Walala,3828,Camille Walala
2296,2296,Art inspired by Camille Walala,2660,Camille Walala
2297,2297,Painting in the style of Camille Walala,457,Camille Walala
2298,2298,A reproduction of art by Camille Walala,833,Camille Walala
2299,2299,A famous artwork by Camille Walala,943,Camille Walala
2300,2300,Image in the style of Canaletto,2019,Canaletto
2301,2301,Art inspired by Canaletto,3103,Canaletto
2302,2302,Painting in the style of Canaletto,3140,Canaletto
2303,2303,A reproduction of art by Canaletto,2797,Canaletto
2304,2304,A famous artwork by Canaletto,1792,Canaletto
2305,2305,Image in the style of Candido Portinari,4801,Candido Portinari
2306,2306,Art inspired by Candido Portinari,4524,Candido Portinari
2307,2307,Painting in the style of Candido Portinari,4300,Candido Portinari
2308,2308,A reproduction of art by Candido Portinari,1084,Candido Portinari
2309,2309,A famous artwork by Candido Portinari,4493,Candido Portinari
2310,2310,Image in the style of Carel Willink,1238,Carel Willink
2311,2311,Art inspired by Carel Willink,1226,Carel Willink
2312,2312,Painting in the style of Carel Willink,1230,Carel Willink
2313,2313,A reproduction of art by Carel Willink,326,Carel Willink
2314,2314,A famous artwork by Carel Willink,0,Carel Willink
2315,2315,Image in the style of Carl Barks,1193,Carl Barks
2316,2316,Art inspired by Carl Barks,466,Carl Barks
2317,2317,Painting in the style of Carl Barks,1449,Carl Barks
2318,2318,A reproduction of art by Carl Barks,1987,Carl Barks
2319,2319,A famous artwork by Carl Barks,493,Carl Barks
2320,2320,Image in the style of Carl Gustav Carus,3679,Carl Gustav Carus
2321,2321,Art inspired by Carl Gustav Carus,646,Carl Gustav Carus
2322,2322,Painting in the style of Carl Gustav Carus,1488,Carl Gustav Carus
2323,2323,A reproduction of art by Carl Gustav Carus,3565,Carl Gustav Carus
2324,2324,A famous artwork by Carl Gustav Carus,1836,Carl Gustav Carus
2325,2325,Image in the style of Carl Holsoe,1576,Carl Holsoe
2326,2326,Art inspired by Carl Holsoe,4467,Carl Holsoe
2327,2327,Painting in the style of Carl Holsoe,459,Carl Holsoe
2328,2328,A reproduction of art by Carl Holsoe,845,Carl Holsoe
2329,2329,A famous artwork by Carl Holsoe,1082,Carl Holsoe
2330,2330,Image in the style of Carl Larsson,2542,Carl Larsson
2331,2331,Art inspired by Carl Larsson,652,Carl Larsson
2332,2332,Painting in the style of Carl Larsson,2589,Carl Larsson
2333,2333,A reproduction of art by Carl Larsson,3076,Carl Larsson
2334,2334,A famous artwork by Carl Larsson,3261,Carl Larsson
2335,2335,Image in the style of Carl Spitzweg,1751,Carl Spitzweg
2336,2336,Art inspired by Carl Spitzweg,1978,Carl Spitzweg
2337,2337,Painting in the style of Carl Spitzweg,765,Carl Spitzweg
2338,2338,A reproduction of art by Carl Spitzweg,3390,Carl Spitzweg
2339,2339,A famous artwork by Carl Spitzweg,92,Carl Spitzweg
2340,2340,Image in the style of Carlo Crivelli,2209,Carlo Crivelli
2341,2341,Art inspired by Carlo Crivelli,3482,Carlo Crivelli
2342,2342,Painting in the style of Carlo Crivelli,2,Carlo Crivelli
2343,2343,A reproduction of art by Carlo Crivelli,4194,Carlo Crivelli
2344,2344,A famous artwork by Carlo Crivelli,567,Carlo Crivelli
2345,2345,Image in the style of Carlos Schwabe,1465,Carlos Schwabe
2346,2346,Art inspired by Carlos Schwabe,2960,Carlos Schwabe
2347,2347,Painting in the style of Carlos Schwabe,2739,Carlos Schwabe
2348,2348,A reproduction of art by Carlos Schwabe,3161,Carlos Schwabe
2349,2349,A famous artwork by Carlos Schwabe,2570,Carlos Schwabe
2350,2350,Image in the style of Carmen Saldana,4897,Carmen Saldana
2351,2351,Art inspired by Carmen Saldana,145,Carmen Saldana
2352,2352,Painting in the style of Carmen Saldana,4692,Carmen Saldana
2353,2353,A reproduction of art by Carmen Saldana,4718,Carmen Saldana
2354,2354,A famous artwork by Carmen Saldana,4562,Carmen Saldana
2355,2355,Image in the style of Carne Griffiths,2699,Carne Griffiths
2356,2356,Art inspired by Carne Griffiths,4975,Carne Griffiths
2357,2357,Painting in the style of Carne Griffiths,4550,Carne Griffiths
2358,2358,A reproduction of art by Carne Griffiths,1765,Carne Griffiths
